Name of the Plant,Family,Common Name,Link,Uses
Grewia sclerophylla  Roxb. ex G.Don,TILIACEAE,Pharsia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003848&column=szBarcode,"""UNKNOWN USE"""
Grewia subinaequalis  DC.,TILIACEAE,"Phalsa, Dhamin",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003850&column=szBarcode,"""UNKNOWN USE"""
Grewia tenax  (Forsk.) Fiori,TILIACEAE,Achchu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003853&column=szBarcode,"""UNKNOWN USE"""
Grewia tiliifolia  Vahl,TILIACEAE,"Dhamni, Pharsa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003851&column=szBarcode,"""UNKNOWN USE"""
Grewia villosa  Willd,TILIACEAE,Padekhado (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003847&column=szBarcode,"""UNKNOWN USE"""
Guaiacum officinale  L.,ZYGOPHYLLACEAE,Lignum Vitae (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013458&column=szBarcode,"""UNKNOWN USE"""
Guazuma ulmifolia  Lam.,STERCULIACEAE,Nipaltunth (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003859&column=szBarcode,"""UNKNOWN USE"""
Guettarda speciosa  L.,RUBIACEAE,Panniru chettu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013605&column=szBarcode,"""UNKNOWN USE"""
Gymnema sylvestre  (Retz.) Schult.,ASCLEPIADACEAE,"Gur-mar, Merasingi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009251&column=szBarcode,"""UNKNOWN USE"""
Gymnopetalum cochinchinensis  (Lour.) Kurz,CUCURBITACEAE,Kaubutkila (Bihar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013798&column=szBarcode,"""UNKNOWN USE"""
Gymnostachyum febrifugum  Benth.,ACANTHACEAE,Nelamuchchala (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009047&column=szBarcode,"""UNKNOWN USE"""
Gynocardia odorata  R.Br.,FLACOURTIACEAE,Lemtem (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003720&column=szBarcode,"""UNKNOWN USE"""
Habenaria commelinifolia  (Roxb.) Wall. ex Lindl.,ORCHIDACEAE,"Ankara, Devsunda (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003158&column=szBarcode,"""UNKNOWN USE"""
Haematoxylum campechianum  L.,MIMOSACEAE,Patang,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003517&column=szBarcode,"""UNKNOWN USE"""
Haldina cordifolia  (Rioxb.) Ridsdale,RUBIACEAE,Haldu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013583&column=szBarcode,"""UNKNOWN USE"""
Haloxylon griffithii  DC.,AMARANTHACEAE,Taghaz,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=BSIS000000001&column=szBarcode,"""UNKNOWN USE"""
Haloxylon recurvum  (Moq.) Bunge ex. Boiss.,CHENOPODIACEAE,Saxaul (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008835&column=szBarcode,"""UNKNOWN USE"""
Haloxylon salicornicum(Moq.)  Bunge ex. Boiss.,CHENOPODIACEAE,Rimth Saltbush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008836&column=szBarcode,"""UNKNOWN USE"""
Haplanthus tentaculatus  Nees,ACANTHACEAE,Nila Jakara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009050&column=szBarcode,"""UNKNOWN USE"""
Haplanthus vericillatus  Nees,ACANTHACEAE,Kastula,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009049&column=szBarcode,"""UNKNOWN USE"""
Harpullia arborea  (Blanco) Radlk.,SAPINDACEAE,Nei-kottei (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003577&column=szBarcode,"""UNKNOWN USE"""
Hedychium coronarium  Koenig. ex Retz.,ZINGIBERACEAE,Common Ginger Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003155&column=szBarcode,"""UNKNOWN USE"""
Hedyotis scandens  Roxb. ex D.Don,RUBIACEAE,Bhedeli (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013618&column=szBarcode,"""UNKNOWN USE"""
Hedyotis umbellata  (L.) Lam.,RUBIACEAE,Chirval,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013615&column=szBarcode,"""UNKNOWN USE"""
Hedyotis verticillata  (L.) Lam.,RUBIACEAE,Ronder (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013611&column=szBarcode,"""UNKNOWN USE"""
Helianthus annuus  L.,ASTERACEAE,Surajmukhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013697&column=szBarcode,"""UNKNOWN USE"""
Helianthus tuberosus  L.,ASTERACEAE,Hatichuk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013698&column=szBarcode,"""UNKNOWN USE"""
Helicteres isora  L.,STERCULIACEAE,"Maroraphali, Marodaphali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003864&column=szBarcode,"""UNKNOWN USE"""
Heliotropium bacciferum  Forsk.,BORAGINACEAE,Jatimisak (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009731&column=szBarcode,"""UNKNOWN USE"""
Heliotropium curassavicum  L.,BORAGINACEAE,Salt heliotrope (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009733&column=szBarcode,"""UNKNOWN USE"""
Heliotropium ellipticum  Ledeb.,BORAGINACEAE,Bithua (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009732&column=szBarcode,"""UNKNOWN USE"""
Heliotropium indicum  L.,BORAGINACEAE,"Hatta-juri, Hatta-sura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009728&column=szBarcode,"""UNKNOWN USE"""
Heliotropium ovalifolium  Forsk.,BORAGINACEAE,Nag-phuli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009708&column=szBarcode,"""UNKNOWN USE"""
Heliotropium strigosum  Willd.,BORAGINACEAE,Chitiphul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009734&column=szBarcode,"""UNKNOWN USE"""
Hemerocallis fulva  L.,LILIACEAE,Tawny Day-Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003908&column=szBarcode,"""UNKNOWN USE"""
Hemidesmus indicus  (L.) R.Br.,ASCLEPIADACEAE,"Anantamul, Kapuri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009254&column=szBarcode,"""UNKNOWN USE"""
Heracleum lanatum  Michx.,APIACEAE,Chhataya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013745&column=szBarcode,"""UNKNOWN USE"""
Heritiera littoralis  L.,STERCULIACEAE,Mukuram (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003866&column=szBarcode,"""UNKNOWN USE"""
Herniaria glabra  L.,ILLECEBRACEAE,Smooth Rupturewort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003821&column=szBarcode,"""UNKNOWN USE"""
Herniaria hirsuta  L.,ILLECEBRACEAE,Hairy Rupturedwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003822&column=szBarcode,"""UNKNOWN USE"""
Heterophragma quadriloculare  (Roxb.) Schum.,BIGNONIACEAE,"Warras, Pullung",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009665&column=szBarcode,"""UNKNOWN USE"""
Heteropogon contortus  (L.) P.Beauv. ex Roem. & Schult.,POACEAE,"Kher, Kumeria",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003168&column=szBarcode,"""UNKNOWN USE"""
Hibiscus cannabinus  L.,MALVACEAE,"Ambari, Patsan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003884&column=szBarcode,"""UNKNOWN USE"""
Hibiscus furcatus  Willd.,MALVACEAE,"Adavi gogu, Konda gogu (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003885&column=szBarcode,"""UNKNOWN USE"""
Hibiscus mutabilis  L.,MALVACEAE,"Shalapara, Sthal kamal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003886&column=szBarcode,"""UNKNOWN USE"""
Hibiscus ovalifolius  (Forsk.) Vahl,MALVACEAE,Tiny Flower Hibiscus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003883&column=szBarcode,"""UNKNOWN USE"""
Hibiscus rosa-sinensis  L.,MALVACEAE,"Jasut, Jasum",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003887&column=szBarcode,"""UNKNOWN USE"""
Hibiscus sabdariffa  L.,MALVACEAE,"Lal-ambari, Patwa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003888&column=szBarcode,"""UNKNOWN USE"""
Hibiscus surattensis  L.,MALVACEAE,Mullu gogu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003889&column=szBarcode,"""UNKNOWN USE"""
Hibiscus syriacus  L.,MALVACEAE,Swet jaba (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003891&column=szBarcode,"""UNKNOWN USE"""
Hibiscus tiliaceus  L.,MALVACEAE,"Bola, Chelwa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003892&column=szBarcode,"""UNKNOWN USE"""
Hibiscus trionum  L.,MALVACEAE,Trailing Holyhock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003893&column=szBarcode,"""UNKNOWN USE"""
Hieracium vulgatum  Fr.,ASTERACEAE,Yellow Hackwood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013147&column=szBarcode,"""UNKNOWN USE"""
Hierochloe laxa  R.Br.,POACEAE,Lax sweet grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003249&column=szBarcode,"""UNKNOWN USE"""
Hippohae tibetana  Schlecht.,ELAEAGNACEAE,Tsermang (Ladakhi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009020&column=szBarcode,"""UNKNOWN USE"""
Hiptage benghalensis  (L.) Kurz,MALPIGHIACEAE,"Madhavilata, Madhmalti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013460&column=szBarcode,"""UNKNOWN USE"""
Holarrhena antudysentrica  (Roth) DC.,APOCYNACEAE,"Kurchi, Karchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009276&column=szBarcode,"""UNKNOWN USE"""
Holarrhena antudysentrica  Wall.,APOCYNACEAE,"Kurchi, Karchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009277&column=szBarcode,"""UNKNOWN USE"""
Holarrhena mitis  R.Br.,APOCYNACEAE,Kiri-mawara (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009275&column=szBarcode,"""UNKNOWN USE"""
Holigrana arnottiana  Hook.f.,ANACARDIACEAE,Chera (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003563&column=szBarcode,"""UNKNOWN USE"""
Holigrana longifolia  Buch.-Ham. ex Roxb.,ANACARDIACEAE,Kherai (Manipur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003565&column=szBarcode,"""UNKNOWN USE"""
Holoptelea integrifolia  (Roxb.) Planch,ULMACEAE,"Chilbil, Papari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013154&column=szBarcode,"""UNKNOWN USE"""
Holostemma ada-kodien  Schult.,ASCLEPIADACEAE,Arkapushpi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009256&column=szBarcode,"""UNKNOWN USE"""
Holostemma rheedii  Wall.,ASCLEPIADACEAE,Chhirvel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009255&column=szBarcode,"""UNKNOWN USE"""
Holosteum umbellatum  L.,CARYOPHYLLACEAE,Jagged Chickweed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003826&column=szBarcode,"""UNKNOWN USE"""
Homalomena aromatica  Schott,ARACEAE,Kuchu gundubi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003218&column=szBarcode,"""UNKNOWN USE"""
Homonoia riperia  Lour.,EUPHORBIACEAE,Pashanabhedaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008984&column=szBarcode,"""UNKNOWN USE"""
Hopea odorata  Roxb.,DIPTEROCARPACEAE,Urappuppicin (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003790&column=szBarcode,"""UNKNOWN USE"""
Hoppea dichotoma  Hayne ex Willd.,GENTIANACEAE,Ram jeeta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013567&column=szBarcode,"""UNKNOWN USE"""
Hordeum vulgare  L.,POACEAE,"Jau, Jav",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003246&column=szBarcode,"""UNKNOWN USE"""
Horsfieldia irya  (Gaertn.) Warb.,MYRISTICACEAE,"Chooglum, Mutwinda (Andamans)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008866&column=szBarcode,"""UNKNOWN USE"""
Horsfieldia kingii  (Hook.f.) Warb.,MYRISTICACEAE,Amol (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008864&column=szBarcode,"""UNKNOWN USE"""
Houttuynia cordata  Thunb.,SAURURACEAE,"Alimoli, Hellijhar (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008870&column=szBarcode,"""UNKNOWN USE"""
Hovenia acerba  Lindl.,RHAMNACEAE,Sicka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003608&column=szBarcode,"""UNKNOWN USE"""
Hugonia mystax  L.,LINACEAE,Chulijinka (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013464&column=szBarcode,"""UNKNOWN USE"""
Humboldtia vahliana  Wight,CAESALPINIACEAE,Arruvanci (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003481&column=szBarcode,"""UNKNOWN USE"""
Hura crepitans  L.,EUPHORBIACEAE,Simaburuga (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008981&column=szBarcode,"""UNKNOWN USE"""
Hybanthus enneaspermus  (L.) F.Muell.,VIOLACEAE,Ratanpurus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003726&column=szBarcode,"""UNKNOWN USE"""
Hydnocarpus kurzii  (King) Warb.,FLACOURTIACEAE,Dalmurgi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003716&column=szBarcode,"""UNKNOWN USE"""
Hydnocarpus pentandra  (Buch.-Ham.) Oken,FLACOURTIACEAE,Chaulmoogra (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003719&column=szBarcode,"""UNKNOWN USE"""
Hydrangea aspera  Buch.-Ham ex. D.Don,SAXIFRAGACEAE,Phirphire ghans (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013703&column=szBarcode,"""UNKNOWN USE"""
Hydrangea macrophylla  (Thunb.) Ser.,SAXIFRAGACEAE,Thamapansapi lei (Manipuri),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013704&column=szBarcode,"""UNKNOWN USE"""
Hydrocharis dubia  (Blume) Backer,HYDROCHARITACEAE,Frogbit (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003918&column=szBarcode,"""UNKNOWN USE"""
Hydrocotyl javanica  Thunb.,APIACEAE,Mahagotukola,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013766&column=szBarcode,"""UNKNOWN USE"""
Hydrocotyl sibthorpioides  Lam.,APIACEAE,Kulkhuri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013764&column=szBarcode,"""UNKNOWN USE"""
Hydrolea zeylanica  Vahl,HYDROPHYLLACEAE,Langali (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009705&column=szBarcode,"""UNKNOWN USE"""
Hygrophila auriculata  (K. Schum.) Heine,ACANTHACEAE,"Talmakhana, Kulaka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009052&column=szBarcode,"""UNKNOWN USE"""
Hygrophila salicifolia  (Vahl) Nees,ACANTHACEAE,Matham arak (Bihar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009051&column=szBarcode,"""UNKNOWN USE"""
Hygroryza aristata  (Retz.) Nees ex Wight & Arn.,POACEAE,Janglidal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003166&column=szBarcode,"""UNKNOWN USE"""
Hymenodictyon orixense  (Roxb.) Mabberley,RUBIACEAE,"Bhaulan, Kukurkat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013576&column=szBarcode,"""UNKNOWN USE"""
Hyoscyamus niger  L.,SOLANACEAE,Khurasaniajvayan (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009677&column=szBarcode,"""UNKNOWN USE"""
Hypericum laxum  (Blume) Koidzumi,HYPERICACEAE,Pikari-char (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003816&column=szBarcode,"""UNKNOWN USE"""
Hypericum perforatum  L.,HYPERICACEAE,"Bassant, Dendhu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003818&column=szBarcode,"""UNKNOWN USE"""
Hypericum uralum  Buch.- Ham. ex D.Don,HYPERICACEAE,Tumbhul (Bihar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003820&column=szBarcode,"""UNKNOWN USE"""
Hypoxis aurea  Lour.,AMARYLLIDACEAE,"Bhuin khajur, Dinda kinda (Bihar)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003116&column=szBarcode,"""UNKNOWN USE"""
Hyptis capitata  Jacq.,LAMIACEAE,False Ironwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008897&column=szBarcode,"""UNKNOWN USE"""
Hyptis suaveolens  (L.) Poit.,LAMIACEAE,Wilayati Tulsi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008899&column=szBarcode,"""UNKNOWN USE"""
Hyssopus officinalis  Lam.,LAMIACEAE,Hyssop (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008880&column=szBarcode,"""UNKNOWN USE"""
Iberis amara  L.,BRASSICACEAE,Rocket candytuft (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003748&column=szBarcode,"""UNKNOWN USE"""
Ichnocarpus frutescens  R.Br.,APOCYNACEAE,"Kalidudhi, Siamalata",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009280&column=szBarcode,"""UNKNOWN USE"""
Ilex paraguariensis  A.St.-Hil.,AQUIFOLIACEAE,Mate (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003598&column=szBarcode,"""UNKNOWN USE"""
Impatiens balsamina  L.,BALSAMINACEAE,Gul-mendhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013947&column=szBarcode,"""UNKNOWN USE"""
Impatiens chinensis  L.,BALSAMINACEAE,Vashtla (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013948&column=szBarcode,"""UNKNOWN USE"""
Impatiens tripetala  Roxb. ex DC.,BALSAMINACEAE,Karya bijal (Lakhimpur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013946&column=szBarcode,"""UNKNOWN USE"""
Indigofera aspalathoides  Vahl ex DC.,FABACEAE,Ratakohomba (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013058&column=szBarcode,"""UNKNOWN USE"""
Indigofera astragalina  DC.,FABACEAE,Andhi-neel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003417&column=szBarcode,"""UNKNOWN USE"""
Indigofera cassioides  Rottl. ex DC.,FABACEAE,"Pharsi ghas, Hakanu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003414&column=szBarcode,"""UNKNOWN USE"""
Indigofera coerulea  Roxb.,FABACEAE,Gujarat Indigo (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003416&column=szBarcode,"""UNKNOWN USE"""
Indigofera glabra  L.,FABACEAE,Pukhintaku (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003426&column=szBarcode,"""UNKNOWN USE"""
Indigofera glandulosa  Willd.,FABACEAE,Vekhariyo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003422&column=szBarcode,"""UNKNOWN USE"""
Indigofera linifolia  (L.f.) Retz.,FABACEAE,Torki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003423&column=szBarcode,"""UNKNOWN USE"""
Indigofera linnaei  Ali,FABACEAE,Pandarphali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003424&column=szBarcode,"""UNKNOWN USE"""
Indigofera oblongifolia  Forsk.,FABACEAE,Jhillan (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003425&column=szBarcode,"""UNKNOWN USE"""
Indigofera suffruticosa  Mill.,FABACEAE,Vilaiti Nil,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003412&column=szBarcode,"""UNKNOWN USE"""
Indigofera tinctoria  L.,FABACEAE,"Nil, Nilika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003415&column=szBarcode,"""UNKNOWN USE"""
Indigofera trifoliata  L.,FABACEAE,Jangli-methi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008592&column=szBarcode,"""UNKNOWN USE"""
Indigofera trita  L.f.,FABACEAE,Vekhario (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003427&column=szBarcode,"""UNKNOWN USE"""
Inula graveolens  Desf.,ASTERACEAE,Stinkwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009300&column=szBarcode,"""UNKNOWN USE"""
Inula recemosa  Hook.f.,ASTERACEAE,Poshkar (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009370&column=szBarcode,"""UNKNOWN USE"""
Ipomoea alba  L.,CONVOLVULACEAE,Dudhiakalmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009810&column=szBarcode,"""UNKNOWN USE"""
Ipomoea aquatica  Forsk.,CONVOLVULACEAE,"Kalmisag, Karmi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009825&column=szBarcode,"""UNKNOWN USE"""
Ipomoea batatas  (L.) Lam.,CONVOLVULACEAE,Mitha alu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009808&column=szBarcode,"""UNKNOWN USE"""
Ipomoea cairica  (L.) Sweet,CONVOLVULACEAE,Neeli Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009801&column=szBarcode,"""UNKNOWN USE"""
Ipomoea coptica  (L.) Roth,CONVOLVULACEAE,Ipomoea coptica (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009799&column=szBarcode,"""UNKNOWN USE"""
Ipomoea dasysperma  Jacq.,CONVOLVULACEAE,Dipdavel (Guj),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009797&column=szBarcode,"""UNKNOWN USE"""
Ipomoea eriocarpa  R.Br.,CONVOLVULACEAE,Nakhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009794&column=szBarcode,"""UNKNOWN USE"""
Ipomoea hederifolia  L.,CONVOLVULACEAE,Lal pungli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009789&column=szBarcode,"""UNKNOWN USE"""
Ipomoea muricata  (L.) Jacq.,CONVOLVULACEAE,Michai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009788&column=szBarcode,"""UNKNOWN USE"""
Ipomoea nil  (L.) Roth.,CONVOLVULACEAE,"Kaladana, Mirchai",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009791&column=szBarcode,"""UNKNOWN USE"""
Ipomoea obscura(L.)  Ker-Gawl.,CONVOLVULACEAE,Vachagandha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009786&column=szBarcode,"""UNKNOWN USE"""
Ipomoea paniculata  R.Br.,CONVOLVULACEAE,Bilaikand,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009795&column=szBarcode,"""UNKNOWN USE"""
Ipomoea pes-caprae  (L.) Roth,CONVOLVULACEAE,Dopatilata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009805&column=szBarcode,"""UNKNOWN USE"""
Ipomoea pes-tigridis  L.,CONVOLVULACEAE,"Panchpatri, Angulilata (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009823&column=szBarcode,"""UNKNOWN USE"""
Ipomoea purga  Hayne,CONVOLVULACEAE,Jalap,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009784&column=szBarcode,"""UNKNOWN USE"""
Ipomoea purpurea  (L.) Roth.,CONVOLVULACEAE,Morning Glory (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009783&column=szBarcode,"""UNKNOWN USE"""
Ipomoea quamoclit  L.,CONVOLVULACEAE,Kamalata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009780&column=szBarcode,"""UNKNOWN USE"""
Ipomoea sepiaria  Roxb. ex Koen.,CONVOLVULACEAE,Bankalmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009779&column=szBarcode,"""UNKNOWN USE"""
Ipomoea tuberosa  L.,CONVOLVULACEAE,Spanish Arbour-vine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009813&column=szBarcode,"""UNKNOWN USE"""
Ipomoea violacea  L.,CONVOLVULACEAE,Kinarwel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009777&column=szBarcode,"""UNKNOWN USE"""
Iris domestica  (L.) Goldblatt & Mabb.,IRIDACEAE,Leopard lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003130&column=szBarcode,"""UNKNOWN USE"""
Ixora arborea  Roxb. ex Sm.,RUBIACEAE,"Kota-gandhal, Nevari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009384&column=szBarcode,"""UNKNOWN USE"""
