Name of the Plant,Family,Common Name,Link,Uses
Aerva lanata  (L.) Juss.,AMARANTHACEAE,"Gorakhganja, Chaya (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008911&column=szBarcode,"""UNKNOWN USE"""
Aesculus indica  Colebr. ex Camb.,HIPPOCASTANACEAE,Pangar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003574&column=szBarcode,"""UNKNOWN USE"""
Aganosma caryophyllata  G.Don,APOCYNACEAE,Maalati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009282&column=szBarcode,"""UNKNOWN USE"""
Agave americana  Blanco,AMARYLLIDACEAE,"Bans-keora, Kantala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003118&column=szBarcode,"""UNKNOWN USE"""
Agave americana  L.,AMARYLLIDACEAE,Chick-kuri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003122&column=szBarcode,"""UNKNOWN USE"""
Agave angustifolia  Haw.,AMARYLLIDACEAE,Kantala (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003123&column=szBarcode,"""UNKNOWN USE"""
Agave sisalana  Perr. ex Engelm.,AMARYLLIDACEAE,Sisal (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003120&column=szBarcode,"""UNKNOWN USE"""
Ageratum conyzoides  L.,ASTERACEAE,Uchunti (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013622&column=szBarcode,"""UNKNOWN USE"""
Aglaia elaeagnoidea  (Juss.) Benth.,MELIACEAE,"Gandha priyangu, Yerraaduga (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009897&column=szBarcode,"""UNKNOWN USE"""
Agropyron repens  (L.) Beauv.,POACEAE,"Couch grass, Dog grass (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003184&column=szBarcode,"""UNKNOWN USE"""
Ailanthus altissima  (Mill.) Swingle,SIMAROUBACEAE,Tree of Heaven (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013486&column=szBarcode,"""UNKNOWN USE"""
Ailanthus excelsa  Roxb.,SIMAROUBACEAE,"Arlu, Maruk",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013484&column=szBarcode,"""UNKNOWN USE"""
Ailanthus triphysa  (Dennst.) Alston,SIMAROUBACEAE,Guggul Dhup,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013482&column=szBarcode,"""UNKNOWN USE"""
Ajuga bracteosa  Wall. ex Benth.,LAMIACEAE,Nilkanthi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008885&column=szBarcode,"""UNKNOWN USE"""
Alangium salvifolium  (L.f.) Wang.,ALANGIACEAE,"Akola, Dhera",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013767&column=szBarcode,"""UNKNOWN USE"""
Albizzia amara  (Roxb.) Boivin,MIMOSACEAE,Lallei (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003553&column=szBarcode,"""UNKNOWN USE"""
Albizzia lebbeck  (L.) Willd.,MIMOSACEAE,Siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003552&column=szBarcode,"""UNKNOWN USE"""
Albizzia odoratissima  (L.f.) Benth.,MIMOSACEAE,Kala siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003557&column=szBarcode,"""UNKNOWN USE"""
Aleurites mollucana  Willd.,EUPHORBIACEAE,Candle Nut Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008968&column=szBarcode,"""UNKNOWN USE"""
Alhagi pseudoalhagi  (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003686&column=szBarcode,"""UNKNOWN USE"""
Alhagi pseudoalhagi  (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003688&column=szBarcode,"""UNKNOWN USE"""
Allamanda cathartica  L.,APOCYNACEAE,Harkakra (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009265&column=szBarcode,"""UNKNOWN USE"""
Allium cepa  L.,LILIACEAE,Piyaz,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003095&column=szBarcode,"""UNKNOWN USE"""
Allium macleanii  Baker,LILIACEAE,Salabmisri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003093&column=szBarcode,"""UNKNOWN USE"""
Alnus nepalensis  D.Don,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008926&column=szBarcode,"""UNKNOWN USE"""
Alnus nitida  Endl.,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008927&column=szBarcode,"""UNKNOWN USE"""
