drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL383824,PRAZOSIN,CHEMBL383824,17-DMAG,CHEMBL3526785,M3,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
CHEMBL383824,PRAZOSIN,CHEMBL383824,17-DMAG,CHEMBL3526786,M4,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
CHEMBL383824,PRAZOSIN,CHEMBL3526784,M2,CHEMBL3527105,M5,,,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
CHEMBL383824,PRAZOSIN,CHEMBL3526784,M2,CHEMBL3527197,M6,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
CHEMBL1140,PRAZOSIN,CHEMBL1140,NAM,CHEMBL71733,MNAM,NNMT,CHEMBL2346486,Homo sapiens,1,fig 1,,Conditions:Liver microsomes,23418369
CHEMBL1140,PRAZOSIN,CHEMBL1140,NAM,CHEMBL3542327,NAM N-oxide,Cytochrome P450s,,Homo sapiens,1,fig 1,,Conditions:Liver microsomes,23418369
CHEMBL1140,PRAZOSIN,CHEMBL71733,MNAM,CHEMBL3542314,2-pyr,AOX,CHEMBL3257,Homo sapiens,1,fig 1,,Conditions:Liver microsomes,23418369
CHEMBL1140,PRAZOSIN,CHEMBL71733,MNAM,CHEMBL3542326,4-pyr,AOX,CHEMBL3257,Homo sapiens,1,fig 1,,Conditions:Liver microsomes,23418369
CHEMBL1201772,PRAZOSIN,CHEMBL1201772,Prasugrel,CHEMBL3526430,R-95913,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL1201772,PRAZOSIN,CHEMBL3526430,R-95913,CHEMBL3542415,S-oxide intermediate,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL1201772,PRAZOSIN,CHEMBL3542415,S-oxide intermediate,CHEMBL3542346,sulfenic acid intermediate,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL493982,PRAZOSIN,CHEMBL493982,"""SCH 530348, Vorapaxar""",CHEMBL498785,M19,CYP3A4,CHEMBL340,Homo sapiens,1,fig 8,,Conditions: in-vitro,20926621
