Name of the Plant,Family,Common Name,Link
Hierochloe laxa  R.Br.,POACEAE,Lax sweet grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003249&column=szBarcode
Hippohae tibetana  Schlecht.,ELAEAGNACEAE,Tsermang (Ladakhi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009020&column=szBarcode
Hiptage benghalensis  (L.) Kurz,MALPIGHIACEAE,"Madhavilata, Madhmalti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013460&column=szBarcode
Holarrhena antudysentrica  (Roth) DC.,APOCYNACEAE,"Kurchi, Karchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009276&column=szBarcode
Holarrhena antudysentrica  Wall.,APOCYNACEAE,"Kurchi, Karchi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009277&column=szBarcode
Holarrhena mitis  R.Br.,APOCYNACEAE,Kiri-mawara (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009275&column=szBarcode
Holigrana arnottiana  Hook.f.,ANACARDIACEAE,Chera (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003563&column=szBarcode
Holigrana longifolia  Buch.-Ham. ex Roxb.,ANACARDIACEAE,Kherai (Manipur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003565&column=szBarcode
Holoptelea integrifolia  (Roxb.) Planch,ULMACEAE,"Chilbil, Papari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013154&column=szBarcode
Holostemma ada-kodien  Schult.,ASCLEPIADACEAE,Arkapushpi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009256&column=szBarcode
Holostemma rheedii  Wall.,ASCLEPIADACEAE,Chhirvel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009255&column=szBarcode
Holosteum umbellatum  L.,CARYOPHYLLACEAE,Jagged Chickweed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003826&column=szBarcode
Homalomena aromatica  Schott,ARACEAE,Kuchu gundubi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003218&column=szBarcode
Homonoia riperia  Lour.,EUPHORBIACEAE,Pashanabhedaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008984&column=szBarcode
Hopea odorata  Roxb.,DIPTEROCARPACEAE,Urappuppicin (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003790&column=szBarcode
Hoppea dichotoma  Hayne ex Willd.,GENTIANACEAE,Ram jeeta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013567&column=szBarcode
Hordeum vulgare  L.,POACEAE,"Jau, Jav",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003246&column=szBarcode
Horsfieldia irya  (Gaertn.) Warb.,MYRISTICACEAE,"Chooglum, Mutwinda (Andamans)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008866&column=szBarcode
Horsfieldia kingii  (Hook.f.) Warb.,MYRISTICACEAE,Amol (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008864&column=szBarcode
Houttuynia cordata  Thunb.,SAURURACEAE,"Alimoli, Hellijhar (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008870&column=szBarcode
Hovenia acerba  Lindl.,RHAMNACEAE,Sicka,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003608&column=szBarcode
Hugonia mystax  L.,LINACEAE,Chulijinka (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013464&column=szBarcode
Humboldtia vahliana  Wight,CAESALPINIACEAE,Arruvanci (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003481&column=szBarcode
Hura crepitans  L.,EUPHORBIACEAE,Simaburuga (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008981&column=szBarcode
Hybanthus enneaspermus  (L.) F.Muell.,VIOLACEAE,Ratanpurus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003726&column=szBarcode
Hydnocarpus kurzii  (King) Warb.,FLACOURTIACEAE,Dalmurgi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003716&column=szBarcode
Hydnocarpus pentandra  (Buch.-Ham.) Oken,FLACOURTIACEAE,Chaulmoogra (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003719&column=szBarcode
Hydrangea aspera  Buch.-Ham ex. D.Don,SAXIFRAGACEAE,Phirphire ghans (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013703&column=szBarcode
Hydrangea macrophylla  (Thunb.) Ser.,SAXIFRAGACEAE,Thamapansapi lei (Manipuri),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013704&column=szBarcode
Hydrocharis dubia  (Blume) Backer,HYDROCHARITACEAE,Frogbit (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003918&column=szBarcode
Hydrocotyl javanica  Thunb.,APIACEAE,Mahagotukola,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013766&column=szBarcode
Hydrocotyl sibthorpioides  Lam.,APIACEAE,Kulkhuri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013764&column=szBarcode
Hydrolea zeylanica  Vahl,HYDROPHYLLACEAE,Langali (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009705&column=szBarcode
Hygrophila auriculata  (K. Schum.) Heine,ACANTHACEAE,"Talmakhana, Kulaka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009052&column=szBarcode
Hygrophila salicifolia  (Vahl) Nees,ACANTHACEAE,Matham arak (Bihar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009051&column=szBarcode
Hygroryza aristata  (Retz.) Nees ex Wight & Arn.,POACEAE,Janglidal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003166&column=szBarcode
Hymenodictyon orixense  (Roxb.) Mabberley,RUBIACEAE,"Bhaulan, Kukurkat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013576&column=szBarcode
Hyoscyamus niger  L.,SOLANACEAE,Khurasaniajvayan (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009677&column=szBarcode
Hypericum laxum  (Blume) Koidzumi,HYPERICACEAE,Pikari-char (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003816&column=szBarcode
Hypericum perforatum  L.,HYPERICACEAE,"Bassant, Dendhu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003818&column=szBarcode
Hypericum uralum  Buch.- Ham. ex D.Don,HYPERICACEAE,Tumbhul (Bihar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003820&column=szBarcode
Hypoxis aurea  Lour.,AMARYLLIDACEAE,"Bhuin khajur, Dinda kinda (Bihar)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003116&column=szBarcode
Hyptis capitata  Jacq.,LAMIACEAE,False Ironwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008897&column=szBarcode
Hyptis suaveolens  (L.) Poit.,LAMIACEAE,Wilayati Tulsi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008899&column=szBarcode
Hyssopus officinalis  Lam.,LAMIACEAE,Hyssop (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008880&column=szBarcode
Iberis amara  L.,BRASSICACEAE,Rocket candytuft (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003748&column=szBarcode
Ichnocarpus frutescens  R.Br.,APOCYNACEAE,"Kalidudhi, Siamalata",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009280&column=szBarcode
Ilex paraguariensis  A.St.-Hil.,AQUIFOLIACEAE,Mate (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003598&column=szBarcode
Impatiens balsamina  L.,BALSAMINACEAE,Gul-mendhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013947&column=szBarcode
Impatiens chinensis  L.,BALSAMINACEAE,Vashtla (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013948&column=szBarcode
Impatiens tripetala  Roxb. ex DC.,BALSAMINACEAE,Karya bijal (Lakhimpur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013946&column=szBarcode
Indigofera aspalathoides  Vahl ex DC.,FABACEAE,Ratakohomba (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013058&column=szBarcode
Indigofera astragalina  DC.,FABACEAE,Andhi-neel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003417&column=szBarcode
Indigofera cassioides  Rottl. ex DC.,FABACEAE,"Pharsi ghas, Hakanu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003414&column=szBarcode
Indigofera coerulea  Roxb.,FABACEAE,Gujarat Indigo (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003416&column=szBarcode
Indigofera glabra  L.,FABACEAE,Pukhintaku (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003426&column=szBarcode
Indigofera glandulosa  Willd.,FABACEAE,Vekhariyo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003422&column=szBarcode
Indigofera linifolia  (L.f.) Retz.,FABACEAE,Torki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003423&column=szBarcode
Indigofera linnaei  Ali,FABACEAE,Pandarphali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003424&column=szBarcode
Indigofera oblongifolia  Forsk.,FABACEAE,Jhillan (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003425&column=szBarcode
Indigofera suffruticosa  Mill.,FABACEAE,Vilaiti Nil,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003412&column=szBarcode
Indigofera tinctoria  L.,FABACEAE,"Nil, Nilika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003415&column=szBarcode
Indigofera trifoliata  L.,FABACEAE,Jangli-methi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008592&column=szBarcode
Indigofera trita  L.f.,FABACEAE,Vekhario (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003427&column=szBarcode
Inula graveolens  Desf.,ASTERACEAE,Stinkwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009300&column=szBarcode
Inula recemosa  Hook.f.,ASTERACEAE,Poshkar (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009370&column=szBarcode
Ipomoea alba  L.,CONVOLVULACEAE,Dudhiakalmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009810&column=szBarcode
Ipomoea aquatica  Forsk.,CONVOLVULACEAE,"Kalmisag, Karmi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009825&column=szBarcode
Ipomoea batatas  (L.) Lam.,CONVOLVULACEAE,Mitha alu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009808&column=szBarcode
Ipomoea cairica  (L.) Sweet,CONVOLVULACEAE,Neeli Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009801&column=szBarcode
Ipomoea coptica  (L.) Roth,CONVOLVULACEAE,Ipomoea coptica (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009799&column=szBarcode
Ipomoea dasysperma  Jacq.,CONVOLVULACEAE,Dipdavel (Guj),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009797&column=szBarcode
Ipomoea eriocarpa  R.Br.,CONVOLVULACEAE,Nakhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009794&column=szBarcode
Ipomoea hederifolia  L.,CONVOLVULACEAE,Lal pungli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009789&column=szBarcode
Ipomoea muricata  (L.) Jacq.,CONVOLVULACEAE,Michai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009788&column=szBarcode
Ipomoea nil  (L.) Roth.,CONVOLVULACEAE,"Kaladana, Mirchai",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009791&column=szBarcode
Ipomoea obscura(L.)  Ker-Gawl.,CONVOLVULACEAE,Vachagandha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009786&column=szBarcode
Ipomoea paniculata  R.Br.,CONVOLVULACEAE,Bilaikand,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009795&column=szBarcode
Ipomoea pes-caprae  (L.) Roth,CONVOLVULACEAE,Dopatilata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009805&column=szBarcode
Ipomoea pes-tigridis  L.,CONVOLVULACEAE,"Panchpatri, Angulilata (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009823&column=szBarcode
Ipomoea purga  Hayne,CONVOLVULACEAE,Jalap,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009784&column=szBarcode
Ipomoea purpurea  (L.) Roth.,CONVOLVULACEAE,Morning Glory (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009783&column=szBarcode
Ipomoea quamoclit  L.,CONVOLVULACEAE,Kamalata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009780&column=szBarcode
Ipomoea sepiaria  Roxb. ex Koen.,CONVOLVULACEAE,Bankalmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009779&column=szBarcode
Ipomoea tuberosa  L.,CONVOLVULACEAE,Spanish Arbour-vine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009813&column=szBarcode
Ipomoea violacea  L.,CONVOLVULACEAE,Kinarwel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009777&column=szBarcode
Iris domestica  (L.) Goldblatt & Mabb.,IRIDACEAE,Leopard lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003130&column=szBarcode
Ixora arborea  Roxb. ex Sm.,RUBIACEAE,"Kota-gandhal, Nevari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009384&column=szBarcode
Ixora coccinea  L.,RUBIACEAE,"Rangan, Rookmini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009382&column=szBarcode
Ixora nigricans  R.Br. ex Wight & Arn.,RUBIACEAE,Katkura (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009383&column=szBarcode
Jasminum angustifolium  Vahl.,OLEACEAE,"Banmallica, Mwari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009581&column=szBarcode
Jasminum arborescens  Roxb.,OLEACEAE,"Bela, Chameli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009579&column=szBarcode
Jasminum azoricum  L.,OLEACEAE,Malati (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009582&column=szBarcode
Jasminum grandiflorum  L.,OLEACEAE,"Chameli, Jati",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009577&column=szBarcode
Jasminum multiflorum  (Burm.f.) Andrews,OLEACEAE,"Chameli, Kunda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009584&column=szBarcode
Jasminum officinale  L.,OLEACEAE,"Chameli, Jati",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009586&column=szBarcode
Jasminum ritchiei  C.B.Clarke,OLEACEAE,Karumullai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009575&column=szBarcode
Jasminum rottlerianum  Wall. ex A.DC.,OLEACEAE,Vanamalliga (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009578&column=szBarcode
Jasminum sambac  (L.) Aiton,OLEACEAE,"Banmallika, Chamba",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009585&column=szBarcode
Jasminum scandens  Vahl,OLEACEAE,Hare lahara (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009580&column=szBarcode
Jateorhiza palmata  Miers,MENISPERMACEAE,Kalamb-ki-jar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000006536&column=szBarcode
Jatropha curcas  L.,EUPHORBIACEAE,"Bagbherenda, Jangli-arandi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008823&column=szBarcode
Jatropha glandulifera  Roxb.,EUPHORBIACEAE,"Janglie-randi, Undarbibi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008830&column=szBarcode
Jatropha gossypifolia  Roxb.,EUPHORBIACEAE,"Bherenda, Verenda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008825&column=szBarcode
Jatropha multifida  L.,EUPHORBIACEAE,Bhadradanti (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008827&column=szBarcode
Jatropha nana  Dalzell & A.Gibson,EUPHORBIACEAE,Kirkundi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008829&column=szBarcode
Juglans regia  L.,JUGLANDACEAE,"Akhrot, Akrut (Trade)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013381&column=szBarcode
Juncellus inundatus  (Roxb.) C.B.Clarke,CYPERACEAE,Pati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003242&column=szBarcode
Juncus effusus  L.,JUNCACEAE,Matting Rush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013141&column=szBarcode
Juniperus communis  L.,CUPRESSACEAE,"Aaraar, Haubera",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008581&column=szBarcode
Juniperus polycarpus  C.Koch,CUPRESSACEAE,Dhup,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009158&column=szBarcode
Juniperus recurva  Buch.-Ham. ex D.Don,CUPRESSACEAE,Chukboo (Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009159&column=szBarcode
Jurinea dolomiaea  Boiss.,ASTERACEAE,Dhoop Lakkad,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009356&column=szBarcode
Justicia adhatoda  L.,ACANTHACEAE,Arusha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009062&column=szBarcode
Justicia betonica  L.,ACANTHACEAE,Tellarantu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013321&column=szBarcode
Justicia gendarussa  Burm.f.,ACANTHACEAE,"Udisanbhalu, Nilinargandi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009066&column=szBarcode
Justicia procumbens  L.,ACANTHACEAE,Karambal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013319&column=szBarcode
Kaempferia rotunda  L.,ZINGIBERACEAE,Bhui-champa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003028&column=szBarcode
Kalanchoe integra  (Medik.) Kuntze,CRASSULACEAE,"Haiza, Rungru",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009438&column=szBarcode
Kalanchoe laciniata  (L.) Pers.,CRASSULACEAE,Hamsagar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009437&column=szBarcode
Kedrostis rostrata  (Rottl.) Cogn.,CUCURBITACEAE,Kukumadunda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009425&column=szBarcode
Kendelia rheedii  Wight & Arn.,RHIZOPHORACEAE,Goria (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009442&column=szBarcode
Kickxia ramosissima  (Wall.) Janch.,SCROPHULARIACEAE,Bhintgalodi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013273&column=szBarcode
Kigelia pinnata  (Jacq.) DC.,BIGNONIACEAE,Common Sausage Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009134&column=szBarcode
Kingiodendron pinnatum  (Roxb. ex DC.) Harms.,CAESALPINIACEAE,Madayan samprani (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003288&column=szBarcode
Kirganelia reticulata  (Poir.) Baill.,EUPHORBIACEAE,"Panjuli, Makhi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008809&column=szBarcode
Kleinhovia hospita  L.,STERCULIACEAE,Bola (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013940&column=szBarcode
Knema angustifolia  (Roxb.) Warb.,MYRISTICACEAE,Mota-pasuti (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008537&column=szBarcode
Kochia indica  Wight,CHENOPODIACEAE,Kaura-ro (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013365&column=szBarcode
Kochia scoparia  (L.) Schrad.,CHENOPODIACEAE,Ti Fu (Chinese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013367&column=szBarcode
Kokoona zeylanica  Thwaites,CELASTRACEAE,Kokum (Ceylon),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003367&column=szBarcode
Krameria triandra  Ruiz & Pav.,POLYGALACEAE,Ratanya (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013086&column=szBarcode
Kydia calycina  Roxb.,MALVACEAE,"Pula, Choupultea",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013840&column=szBarcode
Kyllinga brevifolia  Rottb.,CYPERACEAE,Nirbisi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003237&column=szBarcode
Kyllinga nemoralis  (Forst.) Dandy ex Hutcins. & Dalziel,CYPERACEAE,White water sedge (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003238&column=szBarcode
Lablab purpureus  (L.) Sweet,FABACEAE,"Bhatvas, Shimi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003294&column=szBarcode
Lactuca indica  L.,ASTERACEAE,Salad,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009363&column=szBarcode
Lactuca remotiflora  DC.,ASTERACEAE,Undirachakan (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009360&column=szBarcode
Lactuca runcinata  DC.,ASTERACEAE,Undirachakan (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009364&column=szBarcode
Lactuca sativa  L.,ASTERACEAE,"Kahu, Salad",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009362&column=szBarcode
Lactuca scariola  L.,ASTERACEAE,Kahu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009361&column=szBarcode
Lagenandra toxicaria  Dalzell,ARACEAE,Maravara tsjembu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002992&column=szBarcode
Lagenaria siceraria  (Molina) Standl.,CUCURBITACEAE,"Kaddu, Lauki",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009410&column=szBarcode
Lagerstroemia indica  L.,LYTHRACEAE,"Pharash, Telingachina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009444&column=szBarcode
Lagerstroemia speciosa  (L.) Pers.,LYTHRACEAE,Jarul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009443&column=szBarcode
Lallemantia royleana  (Wall. ex Benth.) Benth.,LAMIACEAE,"Gharei, Kashmalu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013217&column=szBarcode
Laminaria saccharina  Lam.,PHAEOPHYCEAE,Sea belt (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008572&column=szBarcode
Lamium album  L.,LAMIACEAE,White Deadnettle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008645&column=szBarcode
Lamium amplexicaule  L.,LAMIACEAE,Henbit (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008646&column=szBarcode
Lamprachaenium microcephalum  Benth.,ASTERACEAE,Brahma-dandi (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009316&column=szBarcode
Lannea coromandelica  (Houtt.) Merr.,ASTERACEAE,"Jhingan, Kaimil",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003380&column=szBarcode
Lasia spinosa  (L.) Thwaites,ARACEAE,Kanta kachu (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013134&column=szBarcode
Lathyrus aphaca  L.,FABACEAE,Janglimatar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003326&column=szBarcode
Lathyrus odoratus  L.,FABACEAE,Sweet Pea (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003322&column=szBarcode
Lathyrus pratensis  L.,FABACEAE,Meadow vetchling (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003325&column=szBarcode
Lathyrus sativus  L.,FABACEAE,"Khesari, Latri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003324&column=szBarcode
Lathyrus sphaericus  Retz.,FABACEAE,Red grass pea (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003323&column=szBarcode
Launaea asplenifolia  (Willd.) Hook.f.,ASTERACEAE,Titlia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009359&column=szBarcode
Launaea resedifolia  (L.) Kuntze,ASTERACEAE,Divided-leaved Sow Thistle (eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009355&column=szBarcode
Launaea sarmentosa  (Willd.) Alston,ASTERACEAE,Sagar pathari (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009357&column=szBarcode
Laurentia longiflora  (L.) Endl.,CAMPANULACEAE,Madam Fate (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009656&column=szBarcode
Lavandula bipinnata  (Roth) Kuntze,LAMIACEAE,"Sarpnocharo, Aasmanifalgoto (Guj.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008736&column=szBarcode
Lavandula stoechas  L.,LAMIACEAE,Dharu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008738&column=szBarcode
Lavandula vera  DC.,LAMIACEAE,True Lavender (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008674&column=szBarcode
Lawsonia inermis  L.,LYTHRACEAE,Mehndi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009446&column=szBarcode
Leea aequata  L.,LEEACEAE,Kakajangha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003390&column=szBarcode
