Name of the Plant,Family,Common Name,Link
Alysicarpus longifolius  (Rottler ex Spreng.) Wight & Arn.,FABACEAE,Longleaf Alyce Clover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003666&column=szBarcode
Alysicarpus vaginalis  (L.) DC.,FABACEAE,"Chauli, Sauri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003667&column=szBarcode
Amaranthus lividus  L.,AMARANTHACEAE,"Sada natya, Van natya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008840&column=szBarcode
Amaranthus tricolor  L.,AMARANTHACEAE,"Lal sag, Chaulai sag",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008838&column=szBarcode
Amaranthus viridis  L.,AMARANTHACEAE,Tanduliya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008841&column=szBarcode
Amaranthus caudatus  L.,AMARANTHACEAE,Ram dana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008916&column=szBarcode
Amaranthus spinosus  L.,AMARANTHACEAE,Kataili chaulai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008915&column=szBarcode
Ammania auriculata  Willd.,LYTHRACEAE,Jangli Mehndi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013793&column=szBarcode
Ammania baccifera  L.,LYTHRACEAE,Dadmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013791&column=szBarcode
Ammi visnaga  (L.) Lam.,APIACEAE,Toothpick plant (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013755&column=szBarcode
Amomum aromaticum  Roxb.,ZINGIBERACEAE,Morang elaichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003152&column=szBarcode
Amomum subulatum  Roxb.,ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003153&column=szBarcode
Amorphophallus paeoniifolius  (Dennst.) Nicolson,ARACEAE,"Suranakanda, Jamikanda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003223&column=szBarcode
Ampelocissus areneosa  (Laws.) Planch.,VITACEAE,Kauraj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003612&column=szBarcode
Ampelocissus arnottiana  (Wight & Arn.) Planch.,VITACEAE,Jangli-angur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003613&column=szBarcode
Ampelocissus latifolia  (Roxb.) Planch.,VITACEAE,Panibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003610&column=szBarcode
Ampelocissus tomentosa  (Roth) Planch.,VITACEAE,Atukulabadda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003611&column=szBarcode
Anacardium occidentale  L.,ANACARDIACEAE,Kaju,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003570&column=szBarcode
Anagallis arvensis  L.,PRIMULACEAE,Jonkmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009231&column=szBarcode
Anamitra cocculus  Wight & Arn.,MENISPERMACEAE,Kakamari (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013995&column=szBarcode
Ananas comosus  (L.) Merr.,BROMELIACEAE,Kazudhachakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003133&column=szBarcode
Anaphalis neelgerryana  DC.,ASTERACEAE,Raktaskandana (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013623&column=szBarcode
Andrographis echinoides  (L.) Nees,ACANTHACEAE,Birkubat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009045&column=szBarcode
Andrographis paniculata  (Burm.) Wall. ex Nees,ACANTHACEAE,Kirayat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009046&column=szBarcode
Andropogon sorghum  (L.) Brot.,POACEAE,Kafir (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003169&column=szBarcode
Anemone narcissiflora  L.,RANUNCULACEAE,Narcissus anemone (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009954&column=szBarcode
Anemone obtusiloba  D. Don,RANUNCULACEAE,Ageli (Jaunsar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009953&column=szBarcode
Angelica archangelica  L.,APIACEAE,Garden Angelica (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013750&column=szBarcode
Aniseia martinicensis  (Jacq.) Choisy.,CONVOLVULACEAE,Potupala (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009822&column=szBarcode
Anisochilus carnosus  (Linn.f.) Wall.,LAMIACEAE,Ajapada (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008901&column=szBarcode
Anisomeles indica  (L.) Kuntze,LAMIACEAE,Gobura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008891&column=szBarcode
Anisomeles malabarica  (L.) R.Br.,LAMIACEAE,Chodhara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008890&column=szBarcode
Annona muricata  L.,ANNONACEAE,Mamphal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009917&column=szBarcode
Annona reticulata  L.,ANNONACEAE,Nona (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009916&column=szBarcode
Annona squamosa  L.,ANNONACEAE,Sharifa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009918&column=szBarcode
Anodendron paniculatum  A.DC.,APOCYNACEAE,Kavali (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009278&column=szBarcode
Anogeissus latifolia  (Roxb. ex. DC.) Wall. ex. Guill. &,COMBRETACEAE,"Dhawa, Dhaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013715&column=szBarcode
Anthemis cotula  L.,ASTERACEAE,Dog-fennel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013624&column=szBarcode
Anthemis nobilis  L.,ASTERACEAE,Roman Chamomile (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013625&column=szBarcode
Anthoxanthum odoratum  L.,POACEAE,Sweet Vernal Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003909&column=szBarcode
Anthriscus cerefolium  Hoffm.,APIACEAE,French Parsley (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013985&column=szBarcode
Antiaris toxicaria  (Pers.) Lesch.,MORACEAE,Karwat (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009771&column=szBarcode
