, id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
427,696132,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,4940,OAS3,https://ctdbase.org/detail.go?type=gene&acc=4940,,,4940.0,OAS3,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OAS3 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
428,696355,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,23962,OASL2,https://ctdbase.org/detail.go?type=gene&acc=23962,,,23962.0,Oasl2,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OASL2 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
429,696356,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,128506,OCSTAMP,https://ctdbase.org/detail.go?type=gene&acc=128506,,,128506.0,OCSTAMP,9606.0,Homo sapiens (human),Cholesterol results in increased expression of OCSTAMP mRNA,,,PMID:26296894,https://www.ncbi.nlm.nih.gov/pubmed/26296894,26296894,,
430,696357,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,4973,OLR1,https://ctdbase.org/detail.go?type=gene&acc=4973,,,4973.0,OLR1,10116.0,Rattus norvegicus (Norway rat),Resveratrol inhibits the reaction [[cholesterol co-treated with ergosterol] results in increased expression of OLR1 mrna]|[cholesterol co-treated with ergosterol] results in increased expression of OLR1 protein|[cholesterol co-treated with ergosterol] results in increased expression of OLR1 mrna|resveratrol inhibits the reaction [[cholesterol co-treated with ergosterol] results in increased expression of OLR1 protein],,,PMID:25833014,https://www.ncbi.nlm.nih.gov/pubmed/25833014,25833014,,
431,696358,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,258950,OR1J14,https://ctdbase.org/detail.go?type=gene&acc=258950,,,258950.0,Or1j14,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OR1J14 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
432,696359,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,119695,OR52R1,https://ctdbase.org/detail.go?type=gene&acc=119695,,,119695.0,OR52R1,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OR52R1 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
433,696360,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,258633,OR5W20,https://ctdbase.org/detail.go?type=gene&acc=258633,,,258633.0,Or5w20,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OR5W20 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
434,696361,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,18407,ORM3,https://ctdbase.org/detail.go?type=gene&acc=18407,,,18407.0,Orm3,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of ORM3 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
435,696362,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,9381,OTOF,https://ctdbase.org/detail.go?type=gene&acc=9381,,,9381.0,OTOF,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of OTOF mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
436,696363,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5023,P2RX1,https://ctdbase.org/detail.go?type=gene&acc=5023,,,5023.0,P2RX1,9606.0,Homo sapiens (human),Jasplakinolide inhibits the reaction [cholesterol deficiency results in decreased activity of P2RX1 protein]|cholesterol deficiency results in decreased activity of P2RX1 protein,,,PMID:21757694,https://www.ncbi.nlm.nih.gov/pubmed/21757694,21757694,,
437,696364,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142.0,PARP1,10090.0,Mus musculus (house mouse),Bisphenol A promotes the reaction [cholesterol results in increased cleavage of PARP1 protein]|resveratrol inhibits the reaction [bisphenol A promotes the reaction [cholesterol results in increased cleavage of PARP1 protein]]|cholesterol results in increased cleavage of PARP1 protein,,,PMID:33239236,https://www.ncbi.nlm.nih.gov/pubmed/33239236,33239236,,
438,696595,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5093,PCBP1,https://ctdbase.org/detail.go?type=gene&acc=5093,,,5093.0,PCBP1,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of PCBP1 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
439,696596,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5313,PKLR,https://ctdbase.org/detail.go?type=gene&acc=5313,,,5313.0,PKLR,10090.0,Mus musculus (house mouse),[lard co-treated with cholesterol co-treated with sucrose co-treated with atrazine] results in increased expression of PKLR mrna|[lard co-treated with cholesterol co-treated with sucrose co-treated with cypermethrin] results in increased expression of PKLR mrna|[lard co-treated with cholesterol co-treated with sucrose co-treated with ethinyl estradiol] results in increased expression of PKLR mRNA,,,PMID:24440342,https://www.ncbi.nlm.nih.gov/pubmed/24440342,24440342,,
440,696597,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5338,PLD2,https://ctdbase.org/detail.go?type=gene&acc=5338,,,5338.0,PLD2,9606.0,Homo sapiens (human),PLD2 protein inhibits the reaction [linoleic acid inhibits the reaction [APOA1 protein affects the reaction [ABCA1 protein results in increased export of cholesterol]]]|pld2 protein affects the reaction [APOA1 protein affects the reaction [ABCA1 protein results in increased export of cholesterol]],,,PMID:16118212,https://www.ncbi.nlm.nih.gov/pubmed/16118212,16118212,,
441,696598,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5444,PON1,https://ctdbase.org/detail.go?type=gene&acc=5444,,,5444.0,PON1,9606.0,Homo sapiens (human),PON1 protein results in decreased chemical synthesis of cholesterol,,,PMID:12615663,https://www.ncbi.nlm.nih.gov/pubmed/12615663,12615663,,
442,696599,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5444,PON1,https://ctdbase.org/detail.go?type=gene&acc=5444,,,5444.0,PON1,9606.0,Homo sapiens (human),PON1 protein results in increased export of cholesterol,,,PMID:16229851|PMID:16331452,https://www.ncbi.nlm.nih.gov/pubmed/16229851|https://www.ncbi.nlm.nih.gov/pubmed/16331452,16229851|16331452,,
443,696600,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5444,PON1,https://ctdbase.org/detail.go?type=gene&acc=5444,,,5444.0,PON1,10090.0,Mus musculus (house mouse),Cholesterol results in decreased activity of PON1 protein,,,PMID:16115471,https://www.ncbi.nlm.nih.gov/pubmed/16115471,16115471,,
444,696601,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,5444,PON1,https://ctdbase.org/detail.go?type=gene&acc=5444,,,5444.0,PON1,10116.0,Rattus norvegicus (Norway rat),[cholesterol co-treated with cholic acid] results in decreased secretion of PON1 protein|atorvastatin inhibits the reaction [[cholesterol co-treated with cholic acid] results in decreased secretion of PON1 protein]|proanthocyanidins inhibits the reaction [[cholesterol co-treated with cholic acid] results in decreased secretion of PON1 protein],,,PMID:30273964,https://www.ncbi.nlm.nih.gov/pubmed/30273964,30273964,,
445,696602,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,949,SCARB1,https://ctdbase.org/detail.go?type=gene&acc=949,,,949.0,SCARB1,9606.0,Homo sapiens (human),SCARB1 protein results in increased transport of cholesterol,,,PMID:16530456,https://www.ncbi.nlm.nih.gov/pubmed/16530456,16530456,,
