drug_name, chembl_id, molecular_weight, logP, polar_surface_area, h_bond_donors, h_bond_acceptors, is_natural_product, current_indications
"FILGOTINIB", "CHEMBL3301607", 425.51, 1.98, 96.67, 1, 7, FALSE, "rheumatoid arthritis; ankylosing spondylitis; ulcerative colitis; kidney disease; Crohn's disease; "
"FILGOTINIB MALEATE", "CHEMBL4298167", 425.51, 1.98, 96.67, 1, 7, FALSE, "rheumatoid arthritis; inflammation; type II hypersensitivity reaction disease; "
"PEFICITINIB", "CHEMBL3137308", 326.4, 2.01, 104.03, 4, 4, TRUE, "rheumatoid arthritis; ulcerative colitis; kidney disease; psoriasis; liver disease; "
"PREDNISOLONE ACETATE", "CHEMBL1152", 402.49, 2.13, 100.9, 2, 6, TRUE, "eye infection; inflammation; cataract; Low back pain; anterior uveitis; "
"TOLMETIN SODIUM", "CHEMBL1200613", 257.29, 2.19, 59.3, 1, 3, TRUE, "rheumatoid arthritis; osteoarthritis; "
"NITAZOXANIDE", "CHEMBL1401", 307.29, 2.23, 111.43, 1, 7, TRUE, "Diarrhea; COVID-19; severe acute respiratory syndrome; rheumatoid arthritis; kidney disease; "
"AMLODIPINE BESYLATE", "CHEMBL1200402", 408.88, 2.27, 99.88, 2, 7, FALSE, "hypertension; heart failure; Fish-eye disease; osteoarthritis; angina pectoris; "
"KETOROLAC TROMETHAMINE", "CHEMBL1201124", 255.27, 2.29, 59.3, 1, 3, FALSE, "nephrolithiasis; pain; renal colic; inflammation; cataract; "
"KETOROLAC", "CHEMBL469", 255.27, 2.29, 59.3, 1, 3, TRUE, "nephrolithiasis; injury; rheumatic disease; eye inflammation; acute pancreatitis; "
"PROGLUMIDE", "CHEMBL316561", 334.42, 2.3, 86.71, 2, 3, TRUE, "pancreatic carcinoma; cirrhosis of liver; gastroesophageal reflux disease; Peptic ulcer; non-alcoholic steatohepatitis; "
"DESONIDE", "CHEMBL1201109", 416.51, 2.33, 93.06, 2, 6, TRUE, "eye inflammation; atopic eczema; skin disease; "
"HYDROCORTISONE ACETATE", "CHEMBL1091", 404.5, 2.35, 100.9, 2, 6, TRUE, "depressive disorder; inflammation; hemorrhoid; atopic eczema; Vitiligo; "
"MOXIFLOXACIN HYDROCHLORIDE", "CHEMBL1200735", 401.44, 2.37, 83.8, 2, 6, FALSE, "Pelvic Inflammatory Disease; bacterial conjunctivitis; chronic bronchitis; infection; osteomyelitis; "
"METHYLPREDNISOLONE ACETATE", "CHEMBL1364144", 416.51, 2.37, 100.9, 2, 6, TRUE, "rheumatoid arthritis; asthma; gout; pain; osteoarthritis; "
"MOXIFLOXACIN", "CHEMBL32", 401.44, 2.37, 83.8, 2, 6, FALSE, "Pelvic Inflammatory Disease; hypertension; COVID-19; smoking cessation; chronic obstructive pulmonary disease; "
"FLUOCINOLONE ACETONIDE", "CHEMBL989", 452.49, 2.37, 93.06, 2, 6, FALSE, "glaucoma; eye inflammation; infectious disease; hemorrhoid; atopic eczema; "
"RAMIPRIL", "CHEMBL1168", 416.52, 2.38, 95.94, 2, 5, TRUE, "hypertension; COVID-19; heart failure; rheumatoid arthritis; cardiovascular disease; "
"CICLOPIROX", "CHEMBL1413", 207.27, 2.44, 42.23, 1, 3, TRUE, "seborrheic dermatitis; candidiasis; tinea pedis; tinea; tinea unguium; "
"GLYCOPYRRONIUM TOSYLATE", "CHEMBL3707243", 318.44, 2.46, 46.53, 1, 3, FALSE, "chronic obstructive pulmonary disease; cerebral palsy; cardiac arrhythmia; peptic ulcer disease; Hyperhidrosis; "
"BETAMETHASONE ACETATE", "CHEMBL1200538", 434.5, 2.47, 100.9, 2, 6, FALSE, "asthma; ulcerative colitis; osteoarthritis; Low back pain; anemia; "
"ROSIGLITAZONE", "CHEMBL121", 357.44, 2.49, 71.53, 1, 6, TRUE, "hypertension; Cognitive impairment; Alzheimer disease; rheumatoid arthritis; asthma; "
